taskID,taskURL,validationStatus,transcriberID,validatorID,externalIdentifier,exportComment,dateTranscribed,dateValidated,individualCount,locality,occurrenceRemarks,recordedBy,transcriberNotes
1536732,https://digivol-test.ala.org.au/validate/task/1536732,,Nick Rossow,,20180516133942-1.jpg,Fully transcribed by Nick Rossow. Exported on 22-Jun-2018 from DigiVol (http://volunteer.ala.org.au),22/6/18 9:33,,0,,"Purchased this Diary for which I paid 10/ and considered reasonable, it being but 50 per Cent over the Home Cost.

	Went to the Main Gaol to hear tidings of the State Prisoners, charged with Treason in taking up arms against the Government at Balaarat.  The Judge remanded them for 10 days, stating that being charged with High Treason, they were entitled to that term of clear notice with copies of their indictments from the opening of the Sessions. Mr Ireland the Counsel for the Defence, stated he was prepared to proceed at once, but the Chief Justice preferred granting the priviledge (sic) allowed by the Law.

	This conduct seems evidently to betray an inclination on the part of the Governt. to let the matter gradually drop, and in my opinion the men will not be tried at all.

	There is a great deal of excitement in the Town, and the Gaol Authorities fearing violence have barricaded and strengthened the Entrance, as well as made a door as close to the Court as possible by which to take the prisoners too (sic) and from Trial.  I remarked that people might break doors to get out, but that I hardly thought they would break them to get into the prison.

	The Visiting Magistrate inspected the Gaol today.  I wrote a letter to my sister at Geelong, enclosing one from our Father to her.",,
1536734,https://digivol-test.ala.org.au/validate/task/1536734,,Nick Rossow,,20180516133942-10.jpg,Fully transcribed by Nick Rossow. Exported on 22-Jun-2018 from DigiVol (http://volunteer.ala.org.au),22/6/18 9:34,,0,,"Went to the Gaol with Requisition for Altering Spouting, told my Mr Wintle that I would not be expected to have anything to do with the Blue Books.  Dr Webster called and examined several lunatics.

	Forwarded ""William Biggin"" to the Benevolent Asylum.

	Perrot came in and made an afternoon of it. Lent him five shillings to pay Hire of Buss (sic) for him to St Kilda.  Mr McNee called, had a Nobbler and called me mysteriously aside. Could I lend him five pounds, of course, Gave him the money.

	Joe's birthday so I went to St Kilda. Mr & Mrs Lotherington and the Misses Lotherington as also Perrot were there, had a pleasant evening but stayed rather late waiting for Perrot.  Met a Friend of Perrot's a short distance from the house and of course went home with him to have a Nobbler.  Perrot extremely anxious to stay all night, but I determined to sleep at home.  Got a little out of our latitude after passing across Richmond Paddock. I guided by Lights ahead steered for Melbourne, leaving Perrot declaring his ignorance of the Locality.  He could not however have been but a trifling distance from his quarters.  Home about a Quarter to twelve.  Wrote this page, and thought of bed.",,
1536736,https://digivol-test.ala.org.au/validate/task/1536736,,Nick Rossow,,20180516133942-11.jpg,Fully transcribed by Nick Rossow. Exported on 22-Jun-2018 from DigiVol (http://volunteer.ala.org.au),22/6/18 9:28,,0,,"Paid Cabman 10 shillings for cab to Benevolent Asylum, made him a present of a shilling to get a Nobbler.  Having caused him a great deal of unnecessary trouble.  Very unprofitable work for me these trifles.  I have to pay them from my pocket and then fight hard to get my own again.  The Order of the Government now is that for every demand Two Householders shall sign their belief in its reasonableness.  Extremely hot all day.  Mr McNee called after office hours and paid me £8.1/ Eight Pounds One Shilling on account of John Martin at present under my charge.

Dined with Mr Black and knocked about till the Fancy Dress Ball commenced  Comparatively few people present and these of the Genus Fast. Drank with numbers but did not dance.  It is no use being a hypocrite with one's Diary,  I cannot dance and every day find it more and more a drawback. False Pride alone prevents me taking lessons.  I would not learn when a boy and now I have whiskers I am ashamed to be seen beginning.

John Edwards was dressed in character, or rather wore breeches silk stockings, flashed Doublet and hat bound with cherry ribbon, and auburn wig with curls a la Cavalier.

Drink, smoke and chaffs, kept me till the musicians were tired. I got home at four o clock A.M.

Improper persons will not be admitted to the Ball this Evening was an announcement extensively circulated, & to carry out the sanitory (sic) measure, a lynx eyed Detective was engaged to spot the naughty ones. Unfortunately he had but one eye, so the frail fair doubtless got on his blind side, for not a female was there in the room who was not notorious for selling her favors",,
1536738,https://digivol-test.ala.org.au/validate/task/1536738,,Nick Rossow,,20180516133942-12.jpg,Fully transcribed by Nick Rossow. Exported on 22-Jun-2018 from DigiVol (http://volunteer.ala.org.au),22/6/18 9:29,,0,,"Rather seedy first thing this morning but contrived to attend to business.  Mr Wintle inspected the Gaol, chatted very friendly. I believe he thinks I am very fast but yet cannot make out how the place is always correct.

Made up some newspapers for England & after four o clock, went out to Post them. On the road to the office met Messrs McNee & Newby, accompanied them of course to get a Nobbler.  Went to Coleman's great crowd there assembled to see a race for 75 Yards between a man and a horse.  All a humbug, and made up affair by the Publican.

Met Mr Haydn the Reporter of the Herald and our number thus increased walked on to the Cricket Ground where the Band of the 40th Regiment was playing.

On the way had a race with Newby, a pretty good match. I won.

I had Diarrhoea and thought it prudent to drink Brandy. Took a good deal to much  Dined with Newby at Richmond, and then went into town.  Pulled up at Coleman's by a Gaol acquaintance and set to work drinking.  Went into Gaol acquaintance’s house when Coleman shut up.  I shouted a couple of bottles of wine for which I threw down a soveriegn (sic).  Got very late and eventually was left with the Reporter & McNee. Wanted to stop with a woman that was in the house, she however was too mercenary, and though at last willing to come to my terms, my inclination for her had fled. Got home very late, but very thankful that I should be spared the mortification of coming home disgusted & dirty the [next?] daylight.",,
1536740,https://digivol-test.ala.org.au/validate/task/1536740,,Nick Rossow,,20180516133942-13.jpg,Fully transcribed by Nick Rossow. Exported on 22-Jun-2018 from DigiVol (http://volunteer.ala.org.au),22/6/18 9:29,,0,,"“Seedy again”. This will not do. I must turn over a fresh leaf. Great satisfaction however in waking in my own bed.

One of the hottest winds I ever experienced. Mr Matyr called to get out of the heat stopped with me till after Mr Stoddart had performed Divine Service and then invited me to dine at the Imperial. Had some very fair soup and tolerably cool porter.

Sea Breeze sprang up about half past two but died away very quickly, and left the evening intensely close.

Went to Church. Sat with Harrison. Saw William Lotherington and Perrot after the service, went to the Larder and had some bottled beer and then took a stroll with Harrison. The streets lined with people lounging about outside the open doors of their houses.

Harrison walked home with me, and sat till about half past ten.

Had to move noisy Lunatic from Ward to the Cell adjoining my Quarters, he most obstropolous for some time. Went to bed but the closeness of Atmosphere and startling vitality of the Mosquitos Quite prevented sleep. Kicked and turned about for two or three hours and then in despair rose struck light and sat down to scribble this page in my nightshirt with two or three most musical buzzers (illegible) around my head. By the bye I have just wiped my pen in the tail of my shirt, that wont do. Cannot look back with pleasure on the manner in which the last week has been passed by me. I have drank (sic) a great deal more than I ought and have kept very late hours. Tis true I cannot accuse myself of any decided profligacy but yet have acted so as to make [retrospection?]  a bore. I have also been wastefully extravagant, but at least know that unless I give up company altogether, I shall never make myself at all better in pocket. I’ll try bed again. Good night my friend to you alone I open my heart.",,
1536742,https://digivol-test.ala.org.au/validate/task/1536742,,Nick Rossow,,20180516133942-14.jpg,Fully transcribed by Nick Rossow. Exported on 22-Jun-2018 from DigiVol (http://volunteer.ala.org.au),22/6/18 9:30,,0,,"Made my Returns out for the past week and sent them into the Sheriff.  Received seven prisoners. Gaol is getting very crowded and that too with a very troublesome class.  Received a couple of Dozen of bottled beer from Goodman & Umphelby for which I paid £1.10/

	Went out in the Evening and called upon Mr Read the Architect, brought himself and cousin to my place.  Tried the Beer, very much annoyed by a Lunatic, that I had in a solitary cell.  He being a bit of a Rogue made as much noise as he possibly could when he found I had some one with me.  Know of no means of treating such a lunatic excepting shrugging my shoulders and patience.

	We went to Black's Concert Room.  It was very hot and to me rather slow, fooled about and had a Nobbler or two and left, Mr Read inclined to be jolly, played two or three practical jokes and separated.  I went home and trust my late companions did the same.

	Dr Webster called during the day. I introduced him to an American Physician who had been sent me as insane.  This is a most extraordinary case.  Dr Wills is as intelligent and perfectly rational, a person, to converse with on any subject that I know.  He has however a belief or rather monomania that there is something wrong with his intellect.  This idea is really all that betrays any weakness of his mental powers.",,
1536744,https://digivol-test.ala.org.au/validate/task/1536744,,Nick Rossow,,20180516133942-15.jpg,Fully transcribed by Nick Rossow. Exported on 22-Jun-2018 from DigiVol (http://volunteer.ala.org.au),22/6/18 9:30,,0,,"My life is proceeding most unsatisfactory each day more wearisome than the preceding. Each day commenced with the lassitude caused by the last night's debauch, Each day fresh resolutions of reformation made, each day such resolutions broken on the first temptation.  I am not a Drunkard, I hate Blackguard Society. I long for genial friendship, and to find one woman, that I could love and respect, Wanting these, and also not having strength  of mind to study, nor a refuge in my own thoughts, After the days confinement I am open to the calls of the First Idler, Lounge about, Drink, Look at the whores, fool away my money at their homes, by paying for drink which is neither wanted, nor drank, at prices four times as high as even the extravagant charges obtained by Publicans & all for what, to be called a Good natured fool, and upon reflection, to be disgusted with self & mankind.

Called upon Lotherington. Emma Quite well. Invited to St Kilda but refused weather appearing unfavourable.

Mr Matyr called in the Evening. I went out with him and into several disreputable Houses, Monk’s, By Maria's, Woman previously unknown but, possessing Trap for Grog, Babies, Absent Lodger and absent husband of mysterious pursuits.",,
1536746,https://digivol-test.ala.org.au/validate/task/1536746,,Nick Rossow,,20180516133942-16.jpg,Fully transcribed by Nick Rossow. Exported on 22-Jun-2018 from DigiVol (http://volunteer.ala.org.au),22/6/18 9:30,,0,,"Went to the Main Gaol the first thing this morning. Mr Wintle remarkably uncommunicative

The Gaol is getting very crowded and difficult to manage, noisy lunatics, Stubborn Half Fools, Helpless idiots, and uncompromising Turnkeys, require exertion and tact to keep out of hot water.

Messrs McNee & Newby called after four o clock went out with them and eventually dined at Dr Stillman's. Spent the evening there, and got home comfortably early.

Received this day the Supply of Wood I had requisitioned for, had it Stacked and measured.

There is one month of 1855 passed and I cannot congratulate myself upon having at all bettered my conditions or prospects.  I have spent tis true no more than my salary, but then of that salary I have wasted nearly the half. I have drank a great deal more than necessary, have made undesirable acquaintance, have enabled the people about me to have the power of talking of my keeping late hours and have left no sunny remembrance, that I may fall back upon God strengthen and assist me so that I may spend February more desirably.

Madras Steamer sailed to day taking home Sir Charles Fitzroy late Governor General of Sydney. I sent Newspapers by her but no letters.",,
1536748,https://digivol-test.ala.org.au/validate/task/1536748,,Nick Rossow,,20180516133942-17.jpg,Fully transcribed by Nick Rossow. Exported on 22-Jun-2018 from DigiVol (http://volunteer.ala.org.au),22/6/18 9:31,,0,,"Got up early noticed some irregularity of the Old Doctor's so sat down and drew out some regulations, which I posted to prevent any future plea of ignorance.

A prisoner wrote to the Sheriff. Mr Wintle brought up the answer.

The Presbyterian Minister addressed the Protestants.

Mr Stoddart Gaol chaplain paid us a visit.

Went down after muster and called on McEwen, he took me to see Lewis the Colonial Dispenser.  Mrs Lewis and her female companion are not all my style. Took Tea with Mrs McEwen and then she, I and Lewis went for ramble. Brought them home, had some Grog and left them eventually very talkative.

Mrs Lewis has a baby and that baby will she says be twelve months old to morrow.  So I am invited there to dine. It is really a great Bore, but as I escaped some [previous?] festivity by pleading indisposition I think I must go.

Women are deceitful wretches. When we called upon Mrs Lewis, We were told that Joseph would not kill the duck. It would not take him a moment to cut its throat says Mrs Lewis, or chop its head off with an axe sang her companion.  McEwen gallantly undertook the butchery, and when all was over and the duck suspended in the Larder, the women began to talk sentiment. What a pity it was to kill the poor thing. It was such a pretty creature, I should so like to have kept it.

Thank God I am single.",,
1536750,https://digivol-test.ala.org.au/validate/task/1536750,,Nick Rossow,,20180516133942-2.jpg,Fully transcribed by Nick Rossow. Exported on 22-Jun-2018 from DigiVol (http://volunteer.ala.org.au),22/6/18 9:31,,0,,"Forwarded Letter to the Sheriff suggesting the propriety of getting William Biggen into the Benevolent Asylum.

	A very heavy fall of rain attended with thunder and lighting.

	It is no wonder that the Good men of this town should earnestly strive to conquer drunkenness when a moment’s reflection makes the mischief caused by it so hideously palpable.  Scarce a day passes but I have some poor wretch or other brought me suffering from the ""Horrors"" or Delirium Tremens.  The fancies of these men are sometimes Horrible, one to day (a wealthy Digger too for the Police have deposited with me value of more than a £100 Sterling) believes the whole town to be in conspiracy to poison him, and in consequence grew so frightened that he gave himself up to the Police for Protection.

	I called this evening to see Lotherington, and heard from him that Emma had been in town and caught in the rain had too (sic) stop 2 hours in the Arcade.  It makes me happy to notice how proud and how kind too Joe is to Emma.  I met with Mr Herle, the Advertising Dentist of this Town, at Black's concert Room, and brought him home to smoke a cigar. He talks of Teeth and pieces of Teeth, new pieces and mended pieces, much after the fashion a grocer would discourse of so much tea and so many eggs",,
